,Year,Brand,Transmission,Body,Fuel,Price,Capacity,Mileage
0,-4,3,1,2,3,0.27170760989814696,-0.8578379200086523,-1.1795412602299042
1,-5,3,1,2,1,-0.3433412748019772,-0.8298108390696606,-1.0400869293701225
2,-6,3,0,1,1,-1.0907188589375825,-0.4374317059237755,0.01356801490378365
3,-8,4,1,1,3,0.5792320522482091,1.5244639598056497,0.4164360818320419
4,-9,5,1,2,1,0.4208103698254498,1.5244639598056497,1.5010808774081217
5,-8,4,1,1,1,-0.06377359993828438,1.5244639598056497,1.1292026617820372
6,-8,3,1,2,1,-0.2128763598655872,-0.8578379200086523,0.4474259331342156
7,-8,3,1,2,1,-0.08427522942828851,-0.8578379200086523,-0.9002607202947147
8,-7,5,1,1,3,0.6631023547073168,1.5244639598056497,-0.1549238066261348
9,-7,5,1,1,3,0.37421575734816764,1.5244639598056497,1.0982128104798634
10,-6,3,1,2,3,-0.5110818797201928,-0.8578379200086523,0.4401433180782048
11,-9,4,1,1,3,0.4729963358000058,1.496436878866658,4.74999490822541
12,-3,5,1,1,1,1.2595133944165282,0.12310991285606031,-1.7807443754920742
13,-7,3,0,2,1,-1.0161674789739312,-0.4374317059237755,-0.5132594572331695
14,-7,5,1,1,1,0.4674049823027319,1.5244639598056497,-0.26534064681577973
15,-8,5,1,1,3,0.32389357587270295,1.5244639598056497,0.943263553968995
16,-4,5,1,1,1,0.9426700295710096,0.12310991285606031,-0.6062290111396905
17,-5,3,1,1,1,-0.10104928992011009,-0.8578379200086523,-0.5061317914336695
18,-3,5,1,1,1,1.408616154343831,0.12310991285606031,-1.4429549962983808
19,-4,3,1,2,1,-0.007860064965545819,-0.8298108390696606,-1.3035316552899012
20,-8,3,0,1,1,-1.126130764420317,-0.44864253829937223,0.4164360818320419
21,-6,5,1,2,1,0.43944821481636265,0.12310991285606031,-0.451279754628822
22,-11,5,1,2,3,0.34625898986179837,2.3652763879754035,2.15186775475377
23,-5,5,1,1,1,-0.020906556459184815,0.12310991285606031,-1.6598839554135967
24,-9,5,1,2,3,0.141242694961757,1.5244639598056497,0.3234665279255208
25,-8,3,1,1,3,-0.2874277398292386,-0.8578379200086523,0.044557866205957364
26,-5,3,1,1,1,0.029415625016279884,-0.8578379200086523,-0.9781072267657751
27,-7,5,1,2,3,1.017221409534661,2.3652763879754035,0.4784157844363893
28,-5,3,1,2,3,0.029415625016279884,-0.8298108390696606,-0.7921681189527329
29,-9,5,1,2,3,0.4208103698254498,1.5244639598056497,0.7653818074945179
